server id;request type;request time;read request;response time
2100;addToCart;31025.310662;31025.310662;31025.710662
2100;addToCart;31132.895174;31132.895174;31133.295174
2100;addToCart;31168.020534;31168.020534;31168.420534
2100;searchProduct;31267.002503;31267.002503;31267.702503
2100;searchProduct;31339.077175;31339.077175;31339.777175
2100;searchProduct;31479.355483;31479.355483;31480.055483
2100;addToCart;31659.321223;31659.321223;31659.721223
2100;addToCart;31803.234366;31803.234366;31803.634366
2100;addToCart;31871.639729;31871.639729;31872.039729
2100;searchProduct;31994.362675;31994.362675;31995.062675
2100;searchProduct;32515.452322;32515.452322;32516.152322
2100;addToCart;32595.095733;32595.095733;32595.495733
2100;searchProduct;32632.018133;32632.018133;32632.718133
2100;searchProduct;32774.141823;32774.141823;32774.841823
2100;searchProduct;33171.562986;33171.562986;33172.262986
2100;searchProduct;33228.151325;33228.151325;33228.851325
2100;searchProduct;33424.760798;33424.760798;33425.460798
2100;searchProduct;33799.671474;33799.671474;33800.371474
2100;searchProduct;33882.380475;33882.380475;33883.080475
2100;searchProduct;34136.559995;34136.559995;34137.259995
2100;searchProduct;34798.456774;34798.456774;34799.156774
2100;searchProduct;35159.902951;35159.902951;35160.602951
2100;searchProduct;35587.057096;35587.057096;35587.757096
2100;searchProduct;35759.231974;35759.231974;35759.931974
2100;searchProduct;35973.880179;35973.880179;35974.580179
2100;searchProduct;36606.094877;36606.094877;36606.794877
2100;searchProduct;37016.171972;37016.171972;37016.871972
2100;addToCart;37094.166729;37094.166729;37094.566729
2100;searchProduct;37291.798508;37291.798508;37292.498508
2100;searchProduct;37820.761941;37820.761941;37821.461941
2100;searchProduct;38265.277435;38265.277435;38265.977435
2100;searchProduct;38357.659074;38357.659074;38358.359074
2100;searchProduct;38762.357581;38762.357581;38763.057581
2100;searchProduct;38772.437898;38772.437898;38773.137898
2100;addToCart;39408.104779;39408.104779;39408.504779
2100;searchProduct;39898.396087;39898.396087;39899.096087
2100;searchProduct;40289.138852;40289.138852;40289.838852
2100;searchProduct;40654.197643;40654.197643;40654.897643
2100;searchProduct;40845.991270;40845.991270;40846.691270
2200;viewStatistics;41272.219367;41272.219367;41273.019367
2200;viewStatistics;41588.507179;41588.507179;41589.307179
2100;searchProduct;42757.665278;42757.665278;42758.465278
2100;searchProduct;42825.947538;42825.947538;42826.647538
2100;searchProduct;42868.636685;42868.636685;42869.336685
2100;searchProduct;43051.886829;43051.886829;43052.586829
2100;searchProduct;43080.908295;43080.908295;43081.608295
2100;searchProduct;43188.007994;43188.007994;43188.707994
2100;addToCart;43474.792946;43474.792946;43475.192946
2100;searchProduct;43761.768421;43761.768421;43762.468421
2100;searchProduct;43959.964205;43959.964205;43960.664205
2100;searchProduct;44440.125242;44440.125242;44440.825242
2000;viewAvailableShippings;44744.124519;44744.124519;44744.724519
2100;searchProduct;44951.946406;44951.946406;44952.646406
2100;searchProduct;45306.292193;45306.292193;45306.992193
2100;searchProduct;45413.883902;45413.883902;45414.583902
2100;searchProduct;45654.228623;45654.228623;45654.928623
2100;searchProduct;45819.141914;45819.141914;45819.841914
2100;searchProduct;46108.578830;46108.578830;46109.278830
2100;addToCart;46247.167542;46247.167542;46247.567542
2100;searchProduct;46270.457858;46270.457858;46271.157858
2100;addToCart;46412.052602;46412.052602;46412.452602
2100;searchProduct;46430.699930;46430.699930;46431.399930
2100;searchProduct;46458.756888;46458.756888;46459.456888
2100;addToCart;46490.029515;46490.029515;46490.429515
2100;searchProduct;47041.495289;47041.495289;47042.195289
2100;searchProduct;47141.316020;47141.316020;47142.016020
2100;searchProduct;47206.272287;47206.272287;47206.972287
2100;createOrder;47212.929417;47212.929417;47213.429417
2100;searchProduct;47304.730859;47304.730859;47305.430859
2000;takeInChargeShipping;47357.478157;47357.478157;47357.878157
2100;searchProduct;47917.170200;47917.170200;47917.870200
2100;searchProduct;47985.052701;47985.052701;47985.752701
2100;searchProduct;47999.360907;47999.360907;48000.060907
2100;searchProduct;48211.954338;48211.954338;48212.654338
2100;searchProduct;48434.474541;48434.474541;48435.174541
2100;searchProduct;48946.677392;48946.677392;48947.377392
2100;searchProduct;49175.087837;49175.087837;49175.787837
2100;searchProduct;49457.905985;49457.905985;49458.605985
2100;searchProduct;49496.763977;49496.763977;49497.463977
2100;searchProduct;49658.847244;49658.847244;49659.547244
2100;searchProduct;49754.146753;49754.146753;49754.846753
2100;searchProduct;50118.053643;50118.053643;50118.753643
2200;viewStatistics;50471.920343;50471.920343;50472.720343
2100;searchProduct;50589.101728;50589.101728;50589.801728
2100;addToCart;50779.633002;50779.633002;50780.033002
2100;searchProduct;50946.699948;50946.699948;50947.399948
2100;searchProduct;51547.710962;51547.710962;51548.410962
2100;searchProduct;51874.256667;51874.256667;51874.956667
2100;searchProduct;52006.063260;52006.063260;52006.763260
2100;searchProduct;52133.263965;52133.263965;52133.963965
2100;searchProduct;52321.146940;52321.146940;52321.846940
2100;searchProduct;52440.588870;52440.588870;52441.288870
2100;searchProduct;52817.999452;52817.999452;52818.699452
2100;searchProduct;53199.246077;53199.246077;53199.946077
2100;searchProduct;53214.953463;53214.953463;53215.653463
2100;searchProduct;53721.627858;53721.627858;53722.327858
2100;addToCart;53895.512040;53895.512040;53895.912040
2100;searchProduct;53924.230336;53924.230336;53924.930336
2100;addToCart;53935.031947;53935.031947;53935.431947
2100;searchProduct;54111.981696;54111.981696;54112.681696
2100;searchProduct;54236.394864;54236.394864;54237.094864
2100;searchProduct;54383.527063;54383.527063;54384.227063
2100;searchProduct;54559.454302;54559.454302;54560.154302
2100;searchProduct;54821.252447;54821.252447;54821.952447
2100;addToCart;54853.592093;54853.592093;54853.992093
2100;searchProduct;55293.645566;55293.645566;55294.345566
2100;searchProduct;55316.642314;55316.642314;55317.342314
2100;searchProduct;55383.225564;55383.225564;55383.925564
2100;searchProduct;55526.894018;55526.894018;55527.594018
2100;searchProduct;55579.365097;55579.365097;55580.065097
2100;searchProduct;55989.512555;55989.512555;55990.212555
2100;searchProduct;56526.589449;56526.589449;56527.289449
2100;addToCart;56537.834472;56537.834472;56538.234472
2100;createOrder;56926.743561;56926.743561;56927.243561
2100;viewOrder;56969.110914;56969.110914;56969.510914
2100;searchProduct;57530.912497;57530.912497;57531.612497
2100;searchProduct;58444.855028;58444.855028;58445.555028
2100;searchProduct;59029.580933;59029.580933;59030.280933
2100;searchProduct;59062.893035;59062.893035;59063.593035
2200;viewStatistics;59135.534633;59135.534633;59136.334633
2100;addToCart;59710.412074;59710.412074;59710.812074
2100;searchProduct;60396.288377;60396.288377;60396.988377
2100;searchProduct;60405.213897;60405.213897;60405.913897
2100;searchProduct;60884.793148;60884.793148;60885.493148
2100;addToCart;60978.759772;60978.759772;60979.159772
2100;searchProduct;61114.923748;61114.923748;61115.623748
2100;searchProduct;61155.588892;61155.588892;61156.288892
2100;searchProduct;61499.452298;61499.452298;61500.152298
2100;searchProduct;61929.980292;61929.980292;61930.680292
2100;searchProduct;61982.719423;61982.719423;61983.419423
2100;searchProduct;62043.919920;62043.919920;62044.619920
2100;searchProduct;62107.032865;62107.032865;62107.732865
2100;searchProduct;62330.622719;62330.622719;62331.322719
2100;searchProduct;63847.512660;63847.512660;63848.212660
2100;searchProduct;64768.104141;64768.104141;64768.804141
2100;searchProduct;65046.261142;65046.261142;65046.961142
2100;searchProduct;65114.157793;65114.157793;65114.857793
2100;searchProduct;65581.413889;65581.413889;65582.113889
2100;addToCart;65865.591327;65865.591327;65865.991327
2100;searchProduct;65865.614970;65865.691327;65866.391327
2000;changeStatusDelivery;66067.710097;66067.710097;66068.110097
2100;searchProduct;66126.689299;66126.689299;66127.389299
2100;searchProduct;66148.382809;66148.382809;66149.182809
2000;viewAvailableShippings;66284.759632;66284.759632;66285.359632
2100;searchProduct;66313.554291;66313.554291;66314.254291
2100;searchProduct;66577.408947;66577.408947;66578.108947
2100;searchProduct;66758.344824;66758.344824;66759.044824
2100;addToCart;66779.619579;66779.619579;66780.019579
2100;searchProduct;66936.438223;66936.438223;66937.138223
2100;searchProduct;67121.826306;67121.826306;67122.526306
2100;searchProduct;67122.227865;67122.227865;67123.226306
2100;searchProduct;67230.205355;67230.205355;67230.905355
2100;searchProduct;67479.021553;67479.021553;67479.721553
2100;searchProduct;67486.229986;67486.229986;67486.929986
2100;searchProduct;67552.987039;67552.987039;67553.687039
2100;addToCart;67766.291356;67766.291356;67766.691356
2100;searchProduct;67816.720723;67816.720723;67817.420723
2000;changeStatusDelivery;67912.071604;67912.071604;67912.471604
2100;addToCart;67939.270691;67939.270691;67939.670691
2100;searchProduct;68073.626972;68073.626972;68074.326972
2100;searchProduct;68750.710656;68750.710656;68751.410656
2100;searchProduct;68859.931959;68859.931959;68860.631959
