requests;min;max;mean
100;0.4;0.8;0.644
100;0.4;0.8;0.65
100;0.4;0.998441;0.621748
100;0.4;0.988181;0.640882
100;0.4;0.8;0.62
100;0.4;1.12521;0.629259
100;0.4;0.8;0.635
100;0.4;0.8;0.642
100;0.4;0.8;0.627
100;0.4;1.0707;0.622219
100;0.4;0.8;0.628
100;0.4;0.8;0.651
100;0.4;0.8;0.649
100;0.4;1.00639;0.654607
100;0.4;0.8;0.645
100;0.4;0.8;0.601
100;0.4;0.953013;0.639938
100;0.4;0.8;0.631
100;0.4;1.35247;0.651525
100;0.4;0.8;0.641
100;0.4;0.8;0.646066
100;0.4;0.8;0.641
100;0.4;0.8;0.605
100;0.4;0.8;0.651
100;0.4;1.32746;0.65865
100;0.4;1.33185;0.631318
100;0.4;0.7;0.632
100;0.4;0.8;0.661
100;0.4;0.8;0.661
100;0.4;1.01426;0.647143
100;0.4;1.03094;0.645309
100;0.4;0.8;0.625
100;0.4;0.8;0.628
100;0.4;0.8;0.65
100;0.4;0.8;0.629
100;0.4;0.8;0.646
100;0.4;0.8;0.63
100;0.4;0.7;0.638
100;0.4;0.8;0.628005
100;0.4;0.8;0.657
100;0.4;0.8;0.63
100;0.4;0.8;0.626
100;0.4;0.8;0.633964
100;0.4;0.8;0.642
100;0.4;1.01578;0.662158
100;0.4;0.8;0.667
100;0.4;0.901267;0.644276
100;0.4;0.8;0.638661
100;0.4;0.794843;0.622948
100;0.4;0.8;0.625
100;0.4;0.8;0.642
100;0.4;1.25048;0.661505
100;0.4;0.8;0.656
100;0.4;0.8;0.64
100;0.4;0.8;0.65
100;0.4;0.7;0.623
100;0.4;0.8;0.631
100;0.4;0.8;0.656
100;0.4;0.823262;0.635233
100;0.4;0.8;0.634
100;0.4;0.8;0.633
100;0.4;0.8;0.658
100;0.4;0.8;0.646229
100;0.4;1.38974;0.629897
100;0.4;0.8;0.637
100;0.4;0.7;0.628
100;0.4;0.895566;0.630956
100;0.4;0.8;0.634415
100;0.4;0.7;0.654
100;0.4;0.8;0.657
100;0.4;0.8;0.641
100;0.4;0.8;0.646
100;0.4;1.36968;0.631697
100;0.4;0.8;0.624
100;0.4;0.8;0.64
100;0.4;0.8;0.641
100;0.4;0.8;0.624
100;0.4;1.29456;0.650556
100;0.4;0.8;0.641
100;0.4;0.7;0.615
100;0.4;0.8;0.641
100;0.4;0.8;0.642
100;0.4;0.8;0.648
100;0.4;1.15709;0.646571
100;0.4;0.8;0.626
100;0.4;0.8;0.627
100;0.4;0.805631;0.651056
100;0.4;1.31652;0.660165
100;0.4;0.8;0.631
100;0.4;1.30234;0.638023
100;0.4;0.8;0.624
100;0.4;0.8;0.628
100;0.4;0.936589;0.642366
100;0.4;0.8;0.637022
100;0.4;1.32416;0.652928
100;0.4;0.8;0.657114
100;0.4;0.8;0.619
100;0.4;1.33576;0.624733
100;0.4;0.8;0.663
100;0.4;0.8;0.64
100;0.4;0.8;0.639
100;0.4;1.17296;0.642608
100;0.4;1.07444;0.640744
100;0.4;0.8;0.645822
100;0.4;0.8;0.638
100;0.4;1.0356;0.635356
100;0.4;0.8;0.627
100;0.4;0.8;0.664
100;0.4;0.8;0.665
100;0.4;0.8;0.64643
100;0.4;0.8;0.632
100;0.4;0.8;0.63
100;0.4;0.8;0.644
100;0.4;0.8;0.65993
100;0.4;0.8;0.628
100;0.4;0.8;0.626973
100;0.4;0.8;0.642401
100;0.4;0.7;0.622
100;0.4;0.9;0.631
100;0.4;0.8;0.636
100;0.4;0.8;0.623
100;0.4;0.8;0.641
100;0.4;0.8;0.643
100;0.4;0.8;0.643
100;0.4;0.8;0.652607
100;0.4;0.8;0.637116
100;0.4;1.13511;0.658351
100;0.4;0.8;0.654662
100;0.4;0.8;0.646
100;0.4;0.8;0.63
100;0.4;0.8;0.643546
100;0.4;0.8;0.648459
100;0.4;0.8;0.633
100;0.4;0.8;0.61
100;0.4;0.8;0.656
100;0.4;0.8;0.645
100;0.4;1.30484;0.654048
100;0.4;0.7;0.629
100;0.4;0.7;0.625
100;0.4;0.8;0.638
100;0.4;0.8;0.64
100;0.4;0.8;0.624367
100;0.4;0.8;0.64782
100;0.4;0.8;0.636
100;0.4;0.8;0.658
100;0.4;0.942675;0.653427
100;0.4;0.9;0.651
100;0.4;0.8;0.638
100;0.4;0.8;0.659
100;0.4;0.8;0.655
100;0.4;0.8;0.645
100;0.4;0.7;0.674
100;0.4;0.8;0.65
100;0.4;0.8;0.649
100;0.4;0.8;0.63
100;0.4;0.8;0.649242
100;0.4;0.8;0.642
100;0.4;0.8;0.621
100;0.4;0.8;0.655
100;0.4;1.19099;0.642765
100;0.4;0.8;0.636
100;0.4;0.8;0.63
100;0.4;1.27086;0.646709
100;0.4;0.8;0.643
100;0.4;0.8;0.651
100;0.4;0.712542;0.627125
100;0.4;1.35185;0.6341
100;0.4;0.961271;0.661613
100;0.4;1.25536;0.644554
100;0.4;0.8;0.641
100;0.4;0.8;0.638
100;0.4;0.8;0.644149
100;0.4;0.718667;0.640187
100;0.4;0.8;0.658
100;0.4;1.3293;0.639026
100;0.4;1.15493;0.630549
100;0.4;0.7;0.641
100;0.4;0.8;0.616
100;0.4;0.993774;0.651938
100;0.4;1.30223;0.661022
100;0.4;0.8;0.624
100;0.4;1.00066;0.640007
100;0.4;0.8;0.652
100;0.4;0.7;0.592
100;0.4;0.8;0.645467
100;0.4;0.8;0.648888
100;0.4;0.7;0.625
100;0.4;0.740424;0.616523
100;0.4;0.8;0.615
100;0.4;0.991948;0.658921
100;0.4;0.8;0.645
100;0.4;0.8;0.642058
100;0.4;0.8;0.620616
100;0.4;0.8;0.624
100;0.4;0.8;0.657
100;0.4;0.8;0.624
100;0.4;0.8;0.645519
100;0.4;0.8;0.641
100;0.4;1.11894;0.658189
100;0.4;0.8;0.651
100;0.4;0.899185;0.638992
100;0.4;0.8;0.645
100;0.4;0.8;0.643
100;0.4;0.8;0.63
100;0.4;1.05812;0.638581
100;0.4;0.8;0.634
100;0.4;0.8;0.646
100;0.4;0.8;0.641
100;0.4;0.8;0.65
100;0.4;1.00538;0.647054
100;0.4;1.02386;0.645239
100;0.4;0.868211;0.625682
100;0.4;0.8;0.643
100;0.4;0.8;0.644
35;0.4;0.7;0.654286
