server id;request type;request time;read request;response time
2200;addProduct;1684.099490;1684.099490;1684.599490
2200;addProduct;1865.856398;1865.856398;1866.356398
2200;addProduct;2314.280574;2314.280574;2314.780574
2100;searchProduct;6330.278886;6330.278886;6330.978886
2100;addToCart;7256.550482;7256.550482;7256.950482
2100;searchProduct;7854.927286;7854.927286;7855.627286
2100;searchProduct;7898.203299;7898.203299;7898.903299
2100;searchProduct;8076.101612;8076.101612;8076.801612
2100;searchProduct;8487.645101;8487.645101;8488.345101
2100;searchProduct;11857.893831;11857.893831;11858.593831
2100;searchProduct;13385.784377;13385.784377;13386.484377
2000;changeStatusDelivery;14300.127594;14300.127594;14300.527594
2000;changeStatusDelivery;16152.952368;16152.952368;16153.352368
2100;searchProduct;16515.607345;16515.607345;16516.307345
2100;searchProduct;17872.667007;17872.667007;17873.367007
2100;addToCart;17969.935604;17969.935604;17970.335604
2100;searchProduct;18281.549117;18281.549117;18282.249117
2100;searchProduct;23758.285880;23758.285880;23758.985880
2100;searchProduct;25253.058588;25253.058588;25253.758588
2100;searchProduct;25442.359390;25442.359390;25443.059390
2100;searchProduct;25961.143193;25961.143193;25961.843193
2100;searchProduct;25979.430145;25979.430145;25980.130145
2100;addToCart;26262.357178;26262.357178;26262.757178
2100;searchProduct;26705.346754;26705.346754;26706.046754
2100;searchProduct;26732.553982;26732.553982;26733.253982
2100;searchProduct;26843.783512;26843.783512;26844.583512
2100;searchProduct;26870.964704;26870.964704;26871.664704
2100;searchProduct;26962.831409;26962.831409;26963.531409
2100;searchProduct;27170.207822;27170.207822;27170.907822
2100;addToCart;27388.188124;27388.188124;27388.588124
2100;addToCart;27592.231430;27592.231430;27592.631430
2100;addToCart;27755.742559;27755.742559;27756.142559
2100;createOrder;28481.088988;28481.088988;28481.588988
2100;searchProduct;28493.894770;28493.894770;28494.594770
2100;viewOrder;28494.381789;28494.381789;28494.781789
2100;createOrder;28721.986971;28721.986971;28722.486971
2100;viewOrder;28725.381184;28725.381184;28725.781184
2100;addToCart;28777.945055;28777.945055;28778.345055
2200;viewStatistics;29189.100932;29189.100932;29189.900932
2100;searchProduct;29630.463270;29630.463270;29631.163270
2100;searchProduct;29802.786809;29802.786809;29803.486809
2100;searchProduct;30305.477135;30305.477135;30306.177135
2100;searchProduct;30474.449318;30474.449318;30475.149318
2100;searchProduct;31403.875836;31403.875836;31404.675836
2100;searchProduct;31721.581058;31721.581058;31722.281058
2100;addToCart;31813.473476;31813.473476;31813.873476
2100;addToCart;31897.911729;31897.911729;31898.311729
2100;searchProduct;32257.773545;32257.773545;32258.473545
2100;searchProduct;33005.902979;33005.902979;33006.602979
2100;searchProduct;33836.381170;33836.381170;33837.081170
2100;addToCart;34683.573697;34683.573697;34683.973697
2200;addProduct;34778.830880;34778.830880;34779.330880
2100;searchProduct;35037.337882;35037.337882;35038.037882
2100;searchProduct;35686.670035;35686.670035;35687.370035
2100;searchProduct;35904.935137;35904.935137;35905.635137
2100;searchProduct;35923.871178;35923.871178;35924.571178
2100;searchProduct;36106.323498;36106.323498;36107.023498
2100;addToCart;36659.850706;36659.850706;36660.250706
2000;viewAvailableShippings;37079.430617;37079.430617;37080.030617
2100;searchProduct;37085.259100;37085.259100;37085.959100
2100;addToCart;37098.133191;37098.133191;37098.533191
2100;searchProduct;37163.174903;37163.174903;37163.874903
2100;searchProduct;37188.750436;37188.750436;37189.450436
2100;searchProduct;37637.179264;37637.179264;37637.879264
2100;searchProduct;37638.511000;37638.511000;37639.211000
2100;searchProduct;38215.064746;38215.064746;38215.764746
2100;searchProduct;38410.889933;38410.889933;38411.589933
2100;searchProduct;39045.440533;39045.440533;39046.140533
2100;addToCart;39331.143767;39331.143767;39331.543767
