requests;min;max;mean
100;0.42;0.82;0.66
100;0.42;0.82;0.68
100;0.42;0.72;0.629
100;0.42;0.82;0.6561
100;0.42;0.82;0.653
100;0.42;0.82;0.623
100;0.42;0.82;0.681
100;0.42;0.82;0.66
100;0.42;0.82;0.648
100;0.42;1.11415;0.673942
100;0.42;0.72;0.65
100;0.42;0.82;0.662
100;0.42;1.03595;0.651159
100;0.42;0.827502;0.6522
100;0.42;0.72;0.656
100;0.42;1.1581;0.675381
100;0.42;0.82;0.663
100;0.42;0.82;0.648391
100;0.42;0.82;0.666
100;0.42;0.72;0.652
100;0.42;1.10218;0.662822
100;0.42;1.27546;0.647555
100;0.42;1.41303;0.669513
100;0.42;0.904906;0.668849
100;0.42;1.3784;0.667229
100;0.42;1.4148;0.681948
100;0.42;1.36289;0.667482
100;0.42;1.01374;0.664615
100;0.42;0.82;0.657
100;0.42;0.72;0.653
100;0.42;0.974871;0.668549
100;0.42;0.82;0.639626
100;0.42;0.72;0.664908
100;0.42;1.29367;0.660737
100;0.42;0.741737;0.660217
100;0.42;1.07774;0.664577
100;0.42;0.830405;0.656104
100;0.42;0.748177;0.673282
100;0.42;0.72;0.638
100;0.42;0.72;0.659
100;0.42;0.82;0.664529
100;0.42;0.967145;0.662414
100;0.42;0.900934;0.666705
100;0.42;0.72;0.675
100;0.42;0.72;0.644758
100;0.42;1.10489;0.648088
100;0.42;0.82;0.675209
100;0.42;1.41638;0.675759
100;0.42;1.17321;0.633532
100;0.42;1.31198;0.66792
100;0.42;0.824579;0.6691
100;0.42;0.88212;0.650728
100;0.42;0.82;0.654
100;0.42;0.82;0.647
100;0.42;0.72;0.648
100;0.42;0.72;0.669
100;0.42;0.72;0.656
100;0.42;0.778869;0.646967
100;0.42;0.987925;0.666486
100;0.42;1.39962;0.632954
100;0.42;0.822237;0.666022
100;0.42;0.951443;0.660314
100;0.42;0.72;0.669
100;0.42;0.78144;0.667614
100;0.42;0.82;0.655
100;0.42;0.72;0.687
100;0.42;0.82;0.641302
100;0.42;0.790001;0.6691
100;0.42;0.82;0.641133
100;0.42;1.27963;0.68876
100;0.42;1.22065;0.652006
100;0.42;0.732961;0.67613
100;0.42;1.11389;0.677939
100;0.42;0.82;0.6701
100;0.42;1.24204;0.668142
100;0.42;1.3176;0.651076
100;0.42;0.82;0.670828
100;0.42;1.15295;0.67633
100;0.42;1.12124;0.657012
100;0.42;1.2668;0.677468
100;0.42;1.28904;0.66479
100;0.42;0.90055;0.646806
100;0.42;0.82;0.661191
100;0.42;0.82;0.658
100;0.42;0.72;0.665
100;0.42;1.26987;0.673599
100;0.42;0.72;0.632
100;0.42;0.72;0.652
100;0.42;0.833178;0.646213
100;0.42;0.967329;0.660838
100;0.42;0.77921;0.669592
100;0.42;1.17341;0.680534
100;0.42;1.4136;0.659367
100;0.42;0.72;0.65
100;0.42;0.72;0.666
100;0.42;0.72;0.672
100;0.42;1.01888;0.659287
100;0.42;0.828543;0.670185
100;0.42;0.72;0.657
100;0.42;0.82;0.68
100;0.42;0.770146;0.652975
100;0.42;1.0213;0.651701
100;0.42;1.07295;0.663529
100;0.42;1.37183;0.677682
100;0.42;0.82;0.667939
100;0.42;0.72;0.657
100;0.42;0.98009;0.646046
100;0.42;0.909484;0.660396
100;0.42;1.19856;0.671786
100;0.42;0.82;0.659
100;0.42;1.31546;0.646906
100;0.42;0.82;0.659684
100;0.42;0.72;0.636
100;0.42;1.22364;0.661036
100;0.42;0.96874;0.662587
100;0.42;1.28533;0.663221
100;0.42;0.865539;0.649025
100;0.42;0.82;0.658149
100;0.42;1.33019;0.669102
100;0.42;1.38977;0.672693
100;0.42;0.872829;0.672649
100;0.42;1.399;0.673466
100;0.42;1.06274;0.652657
100;0.42;0.82;0.67
100;0.42;0.72;0.653
100;0.42;0.82;0.64
100;0.42;0.82;0.662955
100;0.42;0.768367;0.670484
100;0.42;0.72;0.67
100;0.42;0.895534;0.666985
100;0.42;1.17265;0.648709
100;0.42;1.04438;0.655244
100;0.42;1.24465;0.682246
100;0.42;0.82;0.647
100;0.42;1.16606;0.668461
100;0.42;0.72;0.641
100;0.42;0.82;0.672
100;0.42;1.33299;0.64413
100;0.42;1.31157;0.657916
100;0.42;0.72;0.655
100;0.42;0.72;0.671
100;0.42;0.82;0.644
100;0.42;0.82;0.655483
100;0.42;0.72;0.648
100;0.42;0.881356;0.646614
100;0.42;0.79977;0.672798
100;0.42;1.08708;0.668319
100;0.42;0.82;0.6681
100;0.42;1.35643;0.666302
100;0.42;0.786241;0.6591
100;0.42;1.17672;0.671933
100;0.42;0.72;0.657525
100;0.42;1.08198;0.665661
100;0.42;0.82;0.675
100;0.42;0.82;0.657
100;0.42;1.11607;0.66539
100;0.42;0.82;0.65
100;0.42;0.72;0.644
100;0.42;0.72;0.66
100;0.42;0.82;0.6792
100;0.42;0.82;0.643
100;0.42;0.798709;0.6661
100;0.42;1.08069;0.642707
100;0.42;0.82;0.632751
100;0.42;1.28411;0.661877
100;0.42;1.11893;0.671985
100;0.42;1.35332;0.699676
100;0.42;1.10778;0.660878
100;0.42;0.72;0.644
100;0.42;0.821715;0.6651
100;0.42;0.72;0.656
100;0.42;0.82;0.662
100;0.42;0.921004;0.649064
100;0.42;1.26074;0.667407
100;0.42;0.93664;0.653166
100;0.42;0.82;0.6541
100;0.42;0.72;0.633
100;0.42;0.82;0.656097
100;0.42;0.82;0.6491
100;0.42;1.0845;0.65755
100;0.42;0.82;0.666
100;0.42;0.801218;0.670812
100;0.42;0.96409;0.661881
100;0.42;1.35128;0.651345
100;0.42;0.72;0.662
100;0.42;1.2264;0.671361
100;0.42;0.82;0.669
100;0.42;0.82;0.6691
100;0.42;0.72;0.661
100;0.42;1.10815;0.651028
100;0.42;0.72;0.65
100;0.42;0.72;0.657
100;0.42;0.880529;0.663605
100;0.42;0.82;0.667
100;0.42;0.82;0.663278
100;0.42;0.82;0.672
100;0.42;0.835771;0.656614
100;0.42;0.775759;0.642558
100;0.42;0.72;0.644427
100;0.42;1.02249;0.671025
100;0.42;0.82;0.647029
100;0.42;0.729252;0.657093
100;0.42;0.723872;0.636039
100;0.42;0.82;0.649
100;0.42;1.31342;0.65846
100;0.42;1.27321;0.660126
100;0.42;1.18976;0.666109
100;0.42;1.23752;0.659175
100;0.42;0.82;0.653
100;0.42;1.28002;0.65321
100;0.42;1.19165;0.693816
100;0.42;1.32776;0.657078
100;0.42;0.72;0.658
100;0.42;1.20422;0.673003
100;0.42;0.72;0.676
100;0.42;0.823527;0.6611
100;0.42;1.2325;0.666235
100;0.42;1.22902;0.67209
100;0.42;0.830786;0.654108
100;0.42;0.82;0.6521
100;0.42;0.82;0.654815
100;0.42;0.82;0.658
100;0.42;0.82;0.64
100;0.42;0.884296;0.65742
100;0.42;0.823261;0.644405
100;0.42;0.72;0.647
100;0.42;1.01806;0.68675
100;0.42;0.82;0.6691
100;0.42;0.72;0.664
100;0.42;1.19303;0.644935
100;0.42;0.771532;0.636515
100;0.42;0.92752;0.661778
100;0.42;0.82;0.663
100;0.42;1.17103;0.647171
100;0.42;0.753955;0.66534
100;0.42;0.82;0.663
100;0.42;1.00704;0.67187
100;0.42;0.82;0.629
100;0.42;0.878726;0.652587
100;0.42;0.860037;0.6524
100;0.42;1.36307;0.662546
100;0.42;0.901981;0.65782
100;0.42;0.82;0.659061
100;0.42;0.830205;0.651102
100;0.42;0.928656;0.647087
100;0.42;0.862536;0.671425
100;0.42;1.26554;0.663431
100;0.42;0.950179;0.667583
100;0.42;0.843643;0.653839
100;0.42;1.20058;0.667182
100;0.42;0.82;0.667718
100;0.42;1.32294;0.656405
100;0.42;0.72;0.657334
100;0.42;0.82;0.649115
100;0.42;0.72;0.665
100;0.42;1.06123;0.680754
100;0.42;0.72;0.657504
100;0.42;0.852689;0.660327
100;0.42;0.72;0.651
100;0.42;1.27176;0.669518
100;0.42;0.869437;0.661273
100;0.42;0.951862;0.631319
100;0.42;0.82;0.659
100;0.42;0.82;0.65
100;0.42;1.2112;0.68405
100;0.42;1.13479;0.655148
100;0.42;0.82;0.6591
100;0.42;0.82;0.665
100;0.42;1.35587;0.654461
100;0.42;0.82;0.667566
100;0.42;0.72;0.666
100;0.42;1.41795;0.670575
100;0.42;1.28824;0.676682
100;0.42;0.72;0.644
100;0.42;0.72;0.656998
100;0.42;1.09034;0.668411
100;0.42;1.29166;0.660967
100;0.42;0.72;0.664
