server id;request type;request time;read request;response time
2100;searchProduct;1354.099026;1354.099026;1354.819026
2100;searchProduct;1431.836556;1431.836556;1432.556556
2100;searchProduct;1479.631241;1479.631241;1480.351241
2100;searchProduct;1729.451465;1729.451465;1730.171465
2100;addToCart;2067.543412;2067.543412;2067.963412
2200;viewStatistics;2070.682500;2070.682500;2071.502500
2100;searchProduct;2212.896136;2212.896136;2213.616136
2100;addToCart;2247.302822;2247.302822;2247.722822
2100;searchProduct;2619.877938;2619.877938;2620.597938
2100;searchProduct;2831.230505;2831.230505;2831.950505
2100;searchProduct;2907.414069;2907.414069;2908.134069
2100;searchProduct;2970.963163;2970.963163;2971.683163
2100;searchProduct;2986.653983;2986.653983;2987.373983
2100;createOrder;3058.192448;3058.192448;3058.712448
2100;viewOrder;3109.852259;3109.852259;3110.272259
2200;viewStatistics;3168.214838;3168.214838;3169.034838
2100;searchProduct;3369.877694;3369.877694;3370.597694
2100;searchProduct;3721.881964;3721.881964;3722.601964
2100;searchProduct;3954.829983;3954.829983;3955.549983
2100;searchProduct;3959.441488;3959.441488;3960.161488
2100;searchProduct;4004.246376;4004.246376;4004.966376
2100;searchProduct;4121.266618;4121.266618;4121.986618
2100;searchProduct;4291.340596;4291.340596;4292.060596
2100;searchProduct;4445.069128;4445.069128;4445.789128
2100;searchProduct;4522.973875;4522.973875;4523.693875
2100;searchProduct;4731.419033;4731.419033;4732.139033
2100;searchProduct;4782.130138;4782.130138;4782.850138
2100;searchProduct;4799.474786;4799.474786;4800.194786
2100;searchProduct;4831.583159;4831.583159;4832.303159
2100;searchProduct;5045.955121;5045.955121;5046.675121
2100;searchProduct;5218.267087;5218.267087;5218.987087
2100;searchProduct;5317.208471;5317.208471;5317.928471
2100;addToCart;5324.336818;5324.336818;5324.756818
2100;addToCart;5332.511304;5332.511304;5332.931304
2100;searchProduct;5396.728114;5396.728114;5397.448114
2100;addToCart;5543.866209;5543.866209;5544.286209
2100;searchProduct;5552.453746;5552.453746;5553.173746
2100;searchProduct;5564.457648;5564.457648;5565.177648
2100;addToCart;5630.340962;5630.340962;5630.760962
2100;searchProduct;5768.543291;5768.543291;5769.263291
2100;searchProduct;5841.855103;5841.855103;5842.575103
2100;addToCart;5883.233954;5883.233954;5883.653954
2100;searchProduct;6004.977151;6004.977151;6005.697151
2100;searchProduct;6125.470601;6125.470601;6126.190601
2100;searchProduct;6156.216172;6156.216172;6156.936172
2100;searchProduct;6223.299268;6223.299268;6224.019268
2100;searchProduct;6426.903192;6426.903192;6427.623192
2100;searchProduct;6606.694532;6606.694532;6607.414532
2100;searchProduct;6840.018631;6840.018631;6840.738631
2100;searchProduct;7079.825942;7079.825942;7080.545942
