min;max;mean
1.01;2.1377;1.02156
1.01;2.1377;1.02151
1.01;2.1377;1.02156
1.01;2.1377;1.02152
1.01;2.1377;1.02148
1.01;2.1377;1.02147
1.01;2.1377;1.02145
1.01;2.1377;1.0215
1.01;2.1377;1.02146
1.01;2.1377;1.02142
1.01;2.1377;1.02146
1.01;2.1377;1.02145
1.01;2.1377;1.02146
1.01;2.1377;1.02152
1.01;2.1377;1.0215
1.01;2.1377;1.0215
1.01;2.1377;1.02152
1.01;2.1377;1.02155
1.01;2.1377;1.02153
1.01;2.1377;1.02158
1.01;2.1377;1.02157
1.01;2.31848;1.02168
1.01;2.31848;1.0217
1.01;2.31848;1.02179
1.01;2.31848;1.02183
1.01;2.31848;1.0218
1.01;2.31848;1.02177
1.01;2.31848;1.02173
1.01;2.31848;1.02171
1.01;2.31848;1.02172
1.01;2.31848;1.02168
1.01;2.31848;1.02163
1.01;2.31848;1.0217
1.01;2.31848;1.02168
1.01;2.31848;1.02164
1.01;2.31848;1.02161
1.01;2.31848;1.02168
1.01;2.31848;1.0217
1.01;2.31848;1.02169
1.01;2.31848;1.02167
1.01;2.31848;1.02165
1.01;2.31848;1.02167
1.01;2.31848;1.0217
1.01;2.31848;1.02171
1.01;2.31848;1.02173
1.01;2.31848;1.0217
1.01;2.31848;1.02169
1.01;2.31848;1.02174
1.01;2.31848;1.0218
1.01;2.31848;1.02178
1.01;2.31848;1.02178
1.01;2.31848;1.02177
1.01;2.31848;1.0218
1.01;2.31848;1.02176
1.01;2.31848;1.02185
1.01;2.31848;1.02183
1.01;2.31848;1.02181
1.01;2.31848;1.02179
1.01;2.31848;1.02183
1.01;2.31848;1.02185
1.01;2.31848;1.02192
1.01;2.31848;1.0219
1.01;2.31848;1.02189
1.01;2.31848;1.02189
1.01;2.31848;1.02186
1.01;2.31848;1.02185
1.01;2.31848;1.02183
1.01;2.31848;1.02185
1.01;2.31848;1.02181
1.01;2.31848;1.0218
1.01;2.31848;1.02179
1.01;2.31848;1.02185
1.01;2.31848;1.02189
1.01;2.31848;1.02187
1.01;2.31848;1.02186
1.01;2.31848;1.02184
1.01;2.31848;1.02185
1.01;2.31848;1.02186
1.01;2.31848;1.02188
1.01;2.31848;1.02184
1.01;2.65765;1.02191
1.01;2.65765;1.0219
1.01;2.65765;1.02192
1.01;2.65765;1.02188
1.01;2.65765;1.02186
1.01;2.65765;1.02189
1.01;2.65765;1.02198
1.01;2.65765;1.02204
1.01;2.65765;1.02205
1.01;2.65765;1.02201
1.01;2.65765;1.02205
