requests;min;max;mean
100;0;0;0
100;0;0.058535;0.00058535
100;0;0;0
100;0;0.088063;0.00088063
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.06962;0.0006962
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;50.0113;0.500113
100;0;0;0
100;0;0.098181;0.00098181
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.024734;0.00024734
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.024129;0.00024129
100;0;0;0
100;0;0.090652;0.00090652
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.039666;0.00039666
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.074041;0.00074041
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.021261;0.00021261
100;0;0.068372;0.00068372
100;0;0;0
100;0;0.055196;0.00055196
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.051945;0.00051945
100;0;0;0
100;0;0.093822;0.00093822
100;0;0;0
100;0;0;0
100;0;0.039451;0.00074501
100;0;0.087253;0.00087253
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.040573;0.00040573
100;0;0;0
100;0;0.09256;0.0009256
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.02255;0.0002255
100;0;0.032306;0.00041134
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.073446;0.00073446
100;0;0.092068;0.00092068
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.074767;0.00074767
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
64;0;0;0
