requests;min;max;mean
100;0.4;0.8;0.64
100;0.4;1.35853;0.638585
100;0.4;0.876389;0.638764
100;0.4;1.38806;0.657881
100;0.4;0.8;0.628
100;0.4;1.24729;0.635906
100;0.4;0.8;0.609
100;0.4;0.8;0.63
100;0.4;1.29696;0.651862
100;0.4;0.7;0.62
100;0.4;0.8;0.631
100;0.4;0.8;0.603
100;0.4;1.16571;0.654657
100;0.4;50.4113;1.13211
100;0.4;0.883289;0.627833
100;0.4;1.39818;0.638982
100;0.4;0.8;0.63
100;0.4;0.8;0.622
100;0.4;0.8;0.638
100;0.4;0.8;0.621
100;0.4;0.8;0.63
100;0.4;1.04706;0.629707
100;0.4;1.17507;0.644751
100;0.4;0.8;0.633
100;0.4;0.8;0.651
100;0.4;1.32473;0.647247
100;0.4;0.8;0.641
100;0.4;0.8;0.627
100;0.4;0.8;0.606
100;0.4;1.1983;0.607983
100;0.4;0.8;0.641
100;0.4;0.8;0.606
100;0.4;0.8;0.63
100;0.4;0.8;0.639
100;0.4;0.8;0.650133
100;0.4;0.7;0.617
100;0.4;0.8;0.63
100;0.4;0.8;0.645
100;0.4;0.8;0.639
100;0.4;0.8;0.62
100;0.4;0.7;0.635
100;0.4;0.8;0.651
100;0.4;0.8;0.619
100;0.4;0.975893;0.642759
100;0.4;0.8;0.641
100;0.4;0.8;0.612
100;0.4;0.8;0.616
100;0.4;0.8;0.646
100;0.4;0.9;0.650241
100;0.4;1.1842;0.663842
100;0.4;0.8;0.621907
100;0.4;0.8;0.647
100;0.4;0.8;0.669
100;0.4;0.8;0.643964
100;0.4;1.25867;0.636983
100;0.4;0.8;0.647
100;0.4;0.8;0.63
100;0.4;0.8;0.65
100;0.4;0.8;0.641
100;0.4;0.8;0.626
100;0.4;0.8;0.66
100;0.4;0.8;0.632
100;0.4;0.8;0.637
100;0.4;0.8;0.648
100;0.4;0.8;0.645
100;0.4;0.8;0.63
100;0.4;0.8;0.636
100;0.4;0.8;0.656
100;0.4;1.11566;0.652467
100;0.4;0.8;0.619739
100;0.4;0.962064;0.643361
100;0.4;0.8;0.631
100;0.4;0.8;0.65
100;0.4;0.8;0.642
100;0.4;1.1637;0.63185
100;0.4;0.8;0.646684
100;0.4;0.8;0.64
100;0.4;0.8;0.655552
100;0.4;0.9;0.639
100;0.4;0.8;0.614
100;0.4;0.8;0.635
100;0.4;0.8;0.635147
100;0.4;0.851931;0.627
100;0.4;0.8;0.609
100;0.4;0.8;0.631
100;0.4;0.8;0.642519
100;0.4;0.8;0.648
100;0.4;1.39382;0.644938
100;0.4;0.8;0.657
100;0.4;0.905404;0.633054
100;0.4;0.8;0.629745
100;0.4;0.918685;0.640059
100;0.4;0.8;0.621
100;0.4;0.8;0.632
100;0.4;0.8;0.667
100;0.4;0.8;0.646
100;0.4;0.8;0.635
100;0.4;1.34057;0.663609
100;0.4;0.8;0.621
100;0.4;0.8;0.618926
100;0.4;0.7;0.645
100;0.4;1.01416;0.601142
100;0.4;1.17321;0.649732
100;0.4;0.8;0.635
100;0.4;0.8;0.629
100;0.4;1.19151;0.644915
100;0.4;1.29703;0.630365
100;0.4;0.8;0.642528
100;0.4;0.8;0.631
100;0.4;0.7;0.616
100;0.4;0.72255;0.629226
100;0.4;0.9;0.656411
100;0.4;0.8;0.614
100;0.4;0.8;0.622
100;0.4;0.8;0.636
100;0.4;0.8;0.629723
100;0.4;0.8;0.648
100;0.4;0.7;0.63
100;0.4;0.833713;0.648337
100;0.4;0.8;0.628734
100;0.4;0.8;0.632921
100;0.4;0.8;0.629
100;0.4;0.8;0.645
100;0.4;0.8;0.627
100;0.4;0.911995;0.65012
100;0.4;0.799317;0.619993
100;0.4;0.8;0.607
100;0.4;0.761319;0.634613
100;0.4;1.14792;0.634479
100;0.4;0.8;0.642
100;0.4;0.8;0.638
100;0.4;0.8;0.643
100;0.4;1.25848;0.635585
100;0.4;0.8;0.65
100;0.4;0.8;0.633
100;0.4;0.8;0.63
100;0.4;0.8;0.66
100;0.4;0.8;0.635
100;0.4;0.8;0.649748
100;0.4;1.1908;0.638908
100;0.4;0.7;0.635
100;0.4;0.8;0.631
100;0.4;0.8;0.66
100;0.4;0.8;0.653
100;0.4;1.25249;0.633847
100;0.4;0.8;0.64
64;0.4;0.8;0.648438
