server id;request type;request time;read request;response time
2100;searchProduct;1522.713689;1522.713689;1523.413689
2100;searchProduct;2514.282517;2514.282517;2514.982517
2100;searchProduct;3460.682977;3460.682977;3461.382977
2200;viewStatistics;4076.534630;4076.534630;4077.334630
2100;searchProduct;4446.961921;4446.961921;4447.661921
2100;searchProduct;5568.608173;5568.608173;5569.308173
2100;searchProduct;7133.278044;7133.278044;7133.978044
2100;searchProduct;7289.681392;7289.681392;7290.381392
2100;searchProduct;7477.662718;7477.662718;7478.362718
2100;searchProduct;8191.305193;8191.305193;8192.005193
2100;addToCart;8326.168593;8326.168593;8326.568593
2100;searchProduct;8359.492051;8359.492051;8360.192051
2100;searchProduct;8441.265004;8441.265004;8441.965004
2100;searchProduct;8526.485285;8526.485285;8527.185285
2100;searchProduct;9229.889277;9229.889277;9230.589277
2100;searchProduct;9444.959977;9444.959977;9445.659977
2100;searchProduct;9502.594342;9502.594342;9503.294342
2100;searchProduct;9881.191605;9881.191605;9881.891605
2100;addToCart;10010.008594;10010.008594;10010.408594
2100;searchProduct;10341.194448;10341.194448;10341.894448
2100;createOrder;10676.266891;10676.266891;10676.766891
2000;changeStatusDelivery;10959.763031;10959.763031;10960.163031
2000;changeStatusDelivery;11205.005426;11205.005426;11205.405426
2100;searchProduct;13863.252401;13863.252401;13863.952401
2100;searchProduct;14274.055222;14274.055222;14274.755222
2100;searchProduct;14474.609554;14474.609554;14475.309554
2100;searchProduct;14682.012257;14682.012257;14682.712257
2100;addToCart;14827.990514;14827.990514;14828.390514
2100;searchProduct;14997.254161;14997.254161;14997.954161
2100;searchProduct;16000.297439;16000.297439;16000.997439
2100;searchProduct;16559.812074;16559.812074;16560.512074
2200;viewStatistics;16657.119752;16657.119752;16657.919752
2100;searchProduct;16862.133800;16862.133800;16862.833800
2100;searchProduct;17508.607687;17508.607687;17509.307687
2100;addToCart;17702.631819;17702.631819;17703.031819
2100;searchProduct;17929.449404;17929.449404;17930.149404
2100;searchProduct;18242.309231;18242.309231;18243.009231
2100;createOrder;18493.984914;18493.984914;18494.484914
2100;viewOrder;18528.993783;18528.993783;18529.393783
2100;addToCart;18598.466796;18598.466796;18598.866796
2100;searchProduct;18749.703031;18749.703031;18750.403031
2100;createOrder;18922.815749;18922.815749;18923.315749
2100;viewOrder;18978.064895;18978.064895;18978.464895
2100;searchProduct;19077.704750;19077.704750;19078.404750
2100;addToCart;19271.791332;19271.791332;19272.191332
2100;searchProduct;19581.579026;19581.579026;19582.279026
2100;searchProduct;20080.695383;20080.695383;20081.395383
2100;searchProduct;20141.235019;20141.235019;20141.935019
2100;searchProduct;20401.366725;20401.366725;20402.066725
2100;searchProduct;20571.428339;20571.428339;20572.128339
2100;searchProduct;20631.110928;20631.110928;20631.810928
2100;addToCart;21131.694277;21131.694277;21132.094277
2100;searchProduct;21531.067152;21531.067152;21531.767152
2100;searchProduct;21541.375647;21541.375647;21542.075647
2100;searchProduct;21821.178926;21821.178926;21821.878926
2100;searchProduct;22031.381558;22031.381558;22032.081558
2100;addToCart;22095.612884;22095.612884;22096.012884
2100;searchProduct;22234.336990;22234.336990;22235.036990
